user,produk,review
N***a,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,bagus banget dikemas satu2
Irma,,Ini pembelian jamu Jagadthara yang kesekian kali  karena efeknya bagus untuk ibu saya. Memang sakit maagnya masih kadang kambuh tapi kondisi ibu saya sudah jauh lebih bai...
Nina,,udah langganan  fresh awet dan segar
Dyandra,,Barang diterima dengan aman semua  ga ada yg bocor sama sekali.. dengan kemasan ramah lingkungan tanpa plastik.. masih dikasi tambahan bonus 2 botol kecil sari lemon dan...
Dito,,packing aman dan semoga cocok
W***y,,Terima kasih sekarang sudah menggunakan packing bebas plastik ðŸ‘
Lussia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,datang tepat waktu. thanks seller  sukses selalu
Ony,Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule,good response  packing rapi. pengiriman tepat wkt. baru do coba moga cocok
Asep,,mantap
Dwita,,sesuai pesanan. repeat order terus
Imran,Beli 1 Paket Gratis 3 Produk By Rahsa Nusantara | Paket Hemat,mantappp
Y***l,Bundling 2 Sukhaloka by Rahsa Nusantara,Baru minum 3 hari tiba2 kulit bersisik di blakang telinga yang udah lama ada tiba tiba hilang. Bakal aku terusin sih  klo kulit di bagian lainnya belum terlalu ada peruba...
Diana,,barang sesuai dengan gambar  packaging baik
Irma,,Pengiriman cepat. Ibu saya cocok minum Jagadthara: kondisi lambungnya sudah lebih baik setelah minum jamu ini. Kalo bisa  tolong disediakan kemasan yang lebih besar supay...
Andra,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,sendoknya lucu
haris,,seller respomsif dan barang sesuai diskripsi...tks
Lussia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,sesuai pesanan. dtg tepat waktu. kualitas dbestttt.... thanks seller
r***f,,packing bagus. sdh sering beli disini. terimakasih
Hamdan,,cepat sampai... tapi naik ya harganya
Nugraha,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,produk sesuai deksripsi  packing oke  respons juga oke  terima kasih
Nugraha,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,produk sesuai deksripsi  packing oke  respons juga oke  terima kasih
Nugraha,,produk sesuai deksripsi  packing oke  respons juga oke  terima kasih
Retno,,super memudahkan untuk memasak
Abdul,,baru coba dan baru 2 kali minum setiap dituang ke sendok selalu ada isi yg keluar alias tumpah. sayang banget lumayan kl setiap minum brp ml yg terbuang. mhon ini jadikan...
Septaray,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,semoga cocok
K***y,,enak banget rasanya. ternyata botol kaca bukan plastik kek sebelah. jadi makin aman u/ di simpan kulkas deh. packing dobel2 aman. thank you.
I***a,,rasa dominan asam   sepertinya rahsa nusantara harus bkin produk yg manfaat nya sama dgn dominan rasa manis supaya anak2 lebih nyaman saat minum yaaaa  hanya masukan saja...
Yufrianto,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,mantap
Joni,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,super thanks
Irma,,Ibu saya cocok minum Jagadthara  jadi saya beli lagi
SRI,,semoga bermanfaat  langsung beli yang bundle buat stok
Lussia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,layanan selalu baik. pengemasan cepat  sll diterima dalam keadaan aman dan tepat wkt. thanks seller. sukses selalu
R***i,,Lengkap dan diterima dalam kondisi baik. Packing cakep dan sangat aman. Dus terluar juga tebal. Terima kasih kaaaa ðŸ˜ƒðŸ‘ðŸ½ðŸ‘ðŸ½
Indah,,seger bgt ini minuman..enak ..n kurirnya ramah sangat
vina,,enak banget siy... recommended
a***a,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,Ternyata enak rasanya  kalau ngaruh nanti beli yang fullsize  good packaging!
Hidayat,,Yang kedua.. fast respon  walau jauh tapi on time
Witania,,RASANYA ENAK  SEGAR. HARUS LEBIH DARI 4 SENDOK MAKAN JIKA SUKA RASA MANIS
Witania,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,kondisi barang baik  tidak ada yg pecah. penemasan rapih sekali.
Bobby,,packing super aman  terima kasih.
Agniasabietah,,Enak banget seger
Indah,,packaging nya rapi bgt sama kurirnya pun sangat2 ramah  puas blnja d sini. terimakasih
Lerizya,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,Pertolongan pertama kalau sudah ada gejala batuk/pilek untuk di rumah. Selalu siap sedia untuk stok.
Lerizya,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,Kandungannya jelas berkhasiat  selalu stok untuk di rumah.
Taufiq,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,oke barang sesuai dan pengiriman cepat  mantao
Nukie,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Repeat order kesekian kali Anaku usia 3 thn doyan..  ðŸ«¶ðŸ»ðŸ«¶ðŸ»
Irma,,Packing ramah lingkungan. Kata ibu saya  rasanya didominasi kunyit dan kayak ada temuireng. Lambung jadi tenang tapi tiap habis minum kok kerongkongan serak. Yang penting...
Nafira,,Packagingnya safety sekalii.. Semoga harganya ngga semakin naik kedepannya
Alex,Sari Serai Telang by Rahsa Nusantara - Jamu Sirup Herbal Tradisional,okay good
U***i,,sari lemonnya segar  packingannya TOP BGT  sangat aman. Sepertinya bakal langganan di toko ini deh.  thanks seller. recommendedðŸ¥°ðŸ‘
Mira,Mini Size Sapujagad Anak by Rahsa Nusantara,langganan.. anak2 suka.. khasiatnya tak perlu di ragukan
Mira,,mantul rasanya dan sizenya gede banget.. cepat juga sampainya recommended seller
Anwar,,waktu pengiriman produk nya harus lebih dipercepat  ganti kurir nya..
r***u,,pembelian kesekian kalinya
P***a,,Udh ngerasain khasiatnya di 1 botol pertama. Jd lebih fokus kerjanya tp minumnya harus rutin
R***i,Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule,Proses cepat  diterima dalam kondisi baik. Terima kasih kakaaaaa ðŸ˜ƒðŸ‘ðŸ½ðŸ‘ðŸ½
Ruri,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,Sudah 2x order barang cepat banget sampai nya ..
J***d,,repurchase karena seoke itu utk anak
J***d,PAKET HEALTHY KIDS 200K By Rahsa Nusantara,selalu langganan beli disini untuk keluarga
Hendry,,seperti biasa biar bintang bicara
FIARINI,,barang original  pengiriman cepat  packing rapi  dapat harga discount :)
V***a,,Rasa spt jamu tp anak suka. Saran d buat isi lbh byk/besar biar gk boros hahha plus disc yg byk tq
Lussia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,thanks seller. sesuai pesanan
M***f,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Just love this produk. Ini fotonya klo sudah dicampur sama air hangat
J***t,,Ini ngaruh banget buat diet   udah coba 4 hari turun 1 kg ðŸ¥¹ waw
Gito,,Kwalitas bagus  rasanya pekat dan mantap
Restu,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,Maa Syaa Allah Tabarakallah jamu Ter enak yang pernah aku minum. makasih ya.. semoga tambah berkah tambah jaya..
R***a,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,anakku batuk pilek  aku nyobain beli ini semoga sembuh sakitnya. rasanya enak  anakku suka
R***i,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,packing aman  respon penjual sampai pengiriman cepet
Putri,,bahan organik dan alami. tidak pahit dan sangat mudah di terima di lidah lidah kita.
Futsia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,cocok untuk anak. anak suka rasanya. recommended. thanks. pengiriman juga aman
Futsia,,cocok untuk anak. anak suka rasanya. recommended. thanks. pengiriman juga aman
Alan,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,rasa nya terlalu rasa jamu.. kunyit nya terlalu kencang g ada kecut2 dari tamarind nya
b***a,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,cuaca lagi ga nentu gini  semoga ini ngebantu yaa buat ttp sehat
Safarila,,Sorry baru ulas  shipping ok bgt super cepat hihi. Rasa enaak  anak suka dan ga eneg. Tq
c***y,,puas sama pemakaian botol pertama  jdi langsung beli banyak krna lebih hemat juga. belum sampe sebulan  efeknya udh kerasa. kulit lebih lembab dan cerah.
c***y,,praktis. botol kacanya tebal  jadi aman selama pengiriman. produk2nya rahsa nusantara recommended ðŸ‘
Juliyanti,,langganan
NOVINA,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,ternyata anak2 pada suka bisa jadi langganan nich
Urph,,Sesuai deskrips dan pesanan
E***y,,Produk diterima dalam keadaan baik  packingnya aman dan ramah lingkungan. Rasanya enak  tidak terlalu jamu dan tidak pedas jadi anak2 bisa minum ini tanpa drama...
Bernhard,,pembelian ke 2  buat asam lambung bagus.
D***e,,suka bgt sama sari lemon rahsa
Vita,,Langganan ðŸ˜ Seneng bgt packingnya lessplasticðŸ«°ðŸ»
Vita,,Jahe nya berasa bgt Enak di tenggorokan dan hangat di perut
I***e,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,baru sekali minum sdh kerasa mensnya lgsg banyak tx ya.  cuma klo yg punya lambung kyknya harus makan dulu biar ga perih ke perut..
I***e,,baru mau nyoba semoga bisa mencerahkan wajah
R***i,,praktis bangett pakai bumbu ini buat tumis2an. tinggal tumis bumbu  masukin sayur (buncis  kacang panjang  atau apapun lah)  tambah garam deh. udah enak.
Muhammad,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,pembelian kedua.. semoga hasilnya baik terlihat...
Fitri,,Setelah habis setengah botol lemon terasa kulitnya sehat
R***i,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,Enak banget rasa asli seperti di mbok jamu
Amanda,,Jalan ninja untuk ningkatin nafsu makan anak jaga daya tahan tubuh â™¥ï¸â™¥ï¸
Ridwan,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,kunyitnya enak  pedes jahenya dapet  seger dan menyehatkan trims.
risma,,langganan
Mira,,membantu skali waktu batpil
R***a,Mini Size Sapujagad Anak by Rahsa Nusantara,Rasanya enak banget  tenggorokan lgs anget. Emaknya dulu tes  hari ini mau coba kasih ke anak  semoga suka dan cocok ðŸ™ðŸ»
A***P,,mantabs selalu dapat bonus pula  recommended seller!
Fitriana,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,Agak degÂ² ser nyobanya (wanginya itu loo  bawang banget meen)  tapi demi kesehatan akan kulawan rasa mblenek inih. Hiyaah  glek...glek...
c***y,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,selalu bagus  Insyaa Allah bermanfaat.. sudah langganan
Ani,,Best sih ini ringkes banget
S***y,,Minum ini pas lg sakit2nya nyeri ga ekspektasi apa2 eh beneran ngefek ðŸ˜­
Diana,[Bebas Pilih Bundling] Sapujagad anak REGAS by Rahsa Nusantara,barang sesuai dengan gambar  packaging baik
Bunga,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,selalu suka dengan produk nya dan packingnya yang ramah lingkungan
Bunga,,selalu suka dengan produk nya dan packingnya yang ramah lingkungan
Istiqomah,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,packing rapi &amp
Nina,,pakcingan super aman  kesegaran terjaga pake pengiriman next day lebih baik
fitri,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,Produk aman pengiriman cepat
fitri,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,Pengiriman cepat  produk aman
Pauline,,kirim cepet bgt  mantap
Rakhmad,,kandungan  khasiat &amp
Rikki,,Baru pertama kali coba sari lemon ini. Agak kuatir waktu pesan karena kemasan nya botol kaca. Dan di ekspedisi nya sempat tidak ada perubahan status selama satu hari. Dan...
Mayang,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,enaaakkj
A***a,,Pengirimannya aman packingnya bagus. Pesanan aman sampai di rumah. Terima kasih.
R***u,,lngsung ditaruh dikulkas packing aman terimakasih.
Hesti,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,Rasa kunyit mantap
Jessica,PAKET HEALTHY KIDS 200K By Rahsa Nusantara,Sudah langganan sejak dulu. Puas dengan produknya.
uleerossi,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,mantap..packing sangat aman
uleerossi,,yg mula lebih ringan rasanya..nyaman
Baruna,,Beli karena pernah dpt gratisan sample dan cocok ternyata..
Reni,Bundling 2 Sukhaloka by Rahsa Nusantara,dapat sari kunyit asem dan jahe merah. thank you â¤ï¸â¤ï¸â¤ï¸ suka sekali dengan collagen booster
a***a,[Bebas Pilih Bundling] Sapujagad anak REGAS by Rahsa Nusantara,pengiriman cepat  packing aman. kualitas oke...trs selalu dapet bonus ya ampun baik bgt ga ngerti lagi dehhh...sukses terus Rahsaâ¤ï¸
a***a,,pengiriman cepat  packing aman. kualitas oke...trs selalu dapet bonus ya ampun baik bgt ga ngerti lagi dehhh...sukses terus Rahsaâ¤ï¸
Syndi,Sari Serai Telang by Rahsa Nusantara - Jamu Sirup Herbal Tradisional,pelayanan CS kurang bagus
Eko,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,Barangnya lumayan bagus.....cuma pengiriman lama Banget udah bayar mahal....parah banget
K***K,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,anak2 cocok banget sama ini tuh. love banget pokoknya ðŸ¥°
R***u,,packing aman  puas bgt ada bonusnya juga terimakasih
Lancar Haid,Paket Healthy Women 200K By Rahsa Nusantara |Sehat Glowing,gracia kunyit asam-nya enak banget. laras jagad diminum tiap pagi bikin badan segar. dapet bonus jahe merah dan kunyit asam kecil2 lagi.. seneng bangeeett.. makasih jeng/mas â¤ï¸
gracia,[PAKET HEMAT CERLANG] By Rahsa Nusantara | Kesehatan Mata Anak,kesukaan anakku.. perlu banget ini buat anak2 jaman sekarang yang screen time sepanjang hari.
Antika,,Bagus banget kemasannya. Terima kasih bonusnya  jahe dan kunyit.
A***a,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Pesan minggu  baru diproses selasa. Dah keburu sembuh flu batuknya.
Sovan,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Repeat order yang kesekian kali
Amalia,,keluarga RahsaNusantara
Amalia,,keluarga RashaNusantaraðŸ¤
Maria,,Seneng bangettt.. beli 3 bonusnya 2ðŸ˜ðŸ˜
Herna,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,Order tiap bulan. Khasiat sgt ok. Shipping cepat. Seller responsive
Dhita,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,pembelian yang kedua kali. sudah coba obat flu macem-macem tapi kambuh lagi  akhirnya coba ini dan berhasil sembuh.. kali ini beli untuk jaga2  jadi salah satu P3K di rum...
Dhita,Mini Size Sapujagad Anak by Rahsa Nusantara,pembelian kedua kali. anak-anak suka dengan rasanya dan ampuh untuk mereka. terima kasih rahsa â¤ï¸
I***a,,enak  segar
Rudy,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,okesip
M***a,,enak rasanya
d***e,,rasanya Joss seger bangetðŸ˜‹ðŸ˜‹ðŸ‘ðŸ‘ðŸ‘
Sulis,Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule,top pengiriman dan packing botol kaca tp super aman sampai dengan selamat. dikasih bonus kunyit asam enak
Hanamoon,,yuk cobain ini bagus buat anakÂ²
Hanamoon,,aku langganan. yuk cobain banyak manfaatnya
A***g,,Sayangnya cuma di limit 1 per pembelian  padahal ongkirnya lumayan mahal ðŸ¥²
Nur,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Sudah langganan. Alhamdulillah cocok buat anak saya. Dari bahan alami   jadi aman insyaAllah ðŸ˜Š
S***e,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,Baru dicoba Kurang berasa asamnya Cenderung rasa manis dan kunyit saja..  asamnya ga berasa.
Sovan,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Repeat order buat persediaan di rumah.
Sovan,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Rasanya enak  anak-anak suka dan berkhasiat
Tirani,,Alhamdulillah  orderannya sampai dengan cepat dan aman  terima kasih juga utk bonus sapujagadnya  semoga semuanya cocok  aamiin
Urph,,Sesuai deskripsi dan pesanan
Wintria,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Kesayangan dari tahun 2019â¤ï¸
Wintria,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,Kesayangan dari tahun 2019â¤ï¸
Muhammad,Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule,pengiriman cepat  packing luarbiaza aman  dpt bonus lg....bakal jd langganan tetap
Riki,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,manteb
Ulfa,Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule,makasih seller... sampai dengan cepet ...
Ashley,Paket Jumat Sehat By Rahsa Nusantara,lebaran2 ttp sigap kirim sehari sampe larasjagadnya enak asem  makasi juga dah dibonusin sapujagad nanti ak update ya picnya
Ashley,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,ternyata rasanya enak kaya ubi gitu ga langu wortel. anakku suka thanks
Ashley,,penolong aku masak
Evy,,saya sangat terbantu dengan ramuan sari jahe merah ini. ketika menjalani i'tikaf  terkena flu.. kerongkongan terasa kering dan sakit. ramuan ini membantu saya menjala...
D***k,,Mantap sudah sampai
D***k,[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek,Mantap sudah sampai
S***o,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,terimakasih..barang sudah sampai sesuai harapan..semoga cocok untuk anak dan lekas sembuh serta sehat... Aamiin..terimakasih untuk fast respon nya Ka' Seller ðŸ™
m***a,,Sudah kesekian kali beli disini  packing selalu aman dan ramah lingkungan. Kali ini dapat bonus hihi.. thank u seller ðŸ™
s***n,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,sdh 2x beli produk ini krn cocok  anak sy usia 3 thn saat flu minum ini 2-3x sembuh gk tambah obat2. Memang expired date nya gk bisa lama jg  krn herbal. Beli di official...
Inge,Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule,terimakasih! selaku cocok dengan Sukhaloka. kali ini dapat gift Sapu Jagat pula. thanks banget.
zupitasari,,kali kesekian beli dan beliii  udh ga perlu diraguin lg khasiatnyaaa
Lussia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,sesui pesanan. thanks seller
Jenny,,Selalu enak. Suka
Fransisca,Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule,bagus pengiriman cepat
Febri,,fast respond  packaging rapih aman  semoga bermanfaat. terimakasii
Febri,,pembelian kedua   packaging super rapih fast respond  produk asli   bermanfaat untuk proses penyembuhan apalagi untuk menjaga stamina  terimakasii
Khesia,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,Selalu dikasih bonus! Senang skali belanja di rahsa nusantara
a***a,[Bebas Pilih Bundling] Sapujagad anak REGAS by Rahsa Nusantara,packing aman  kualitas selalu oke gausah diragukan lagi. dikasih bonus. Ya Ampun ...makasih ya Rahsa...selalu loovee...
a***a,[Bebas Pilih Bundling] Sekarjagad by Rahsa Nusantara - Healthy Glow,packing aman  kualitas selalu oke gausah diragukan lagi. dikasih bonus. Ya Ampun ...makasih ya Rahsa...selalu loovee...
Irmawati,Paket Teman Hari Ramadan 129K Gratis Sadajiwa By Rahsa Nusantara,seller responsif  kecepatan pengiriman sangat baik  pengemasan sangat baik  aman sampe tujuan
Irmawati,,seller responsif  kecepatan pengiriman sangat baik  pengemasan sangat baik  aman sampe tujuan
Tika,,cocok botol kesekian.. makasih yaaa
Tika,,cocok. botol kesekian. pengiriman aman alhamdulillah. makasihh
F***a,,bumbu yg mempercepat proses masak bgt dan rasanya pun enaak  bersih dan sehat
Muhammad,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,alhamdulillah anak saya suka  semoga cocok bisa mengurangi mata minusnya.. barang cepat sampai  packing rapih.. Terima kasih
e***a,[PAKET HEMAT CERLANG] By Rahsa Nusantara | Kesehatan Mata Anak,Paket diterima dgn aman  tanpa ada yg pecah. Packingnya aman bgt ðŸ‘ðŸ»
L***n,Mini Size Sapujagad Anak by Rahsa Nusantara,Sampai dengan cepat
L***n,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Sampai dengan cepat
Fikana,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Anak anak suka dan cocok ini botol yg ke dua ðŸ«°ðŸ»
Fikana,,Mertua saya cocok minum ini   sudah botol yg ke 3
Supriyatno,,Always 5
Supriyatno,,Rasanya bener2 kecombrang asli. enak nya diminum dingin
Rahmawati,,Aromanya enak bgtt  bikin wangi kalau masak.  Terus bikin masak jadi satset  terutama saat sahur. Ga perlu iris2 atau siapin bumbu macem2 ðŸ«¶ðŸ» Terus Rahsa Nusantara ini s...
Rheza,,sudah beli kali kedua.. rasa enak...
N***a,,Langganan
Nabilla,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,Langganan :)
Putri,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,cpt bgt basi yg ini  beda sm yg alit..belum lama udh berbusa
D***i,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,aman bgt packingnya  gak pake buble wrap  semoga cocok baru mau coba  bonus nya banyak juga ( telang dan sda jiwa) terima kasih.
Tika,[Bebas Pilih Bundling] Sapujagad Dewasa by Rahsa Nusantara - Herbal,bundling sapujagad dan sari lemon. duo must have items.. sebagai ikhtiar menjaga ksehatan. suka banget skrg packagingny udh ramah bumi bangett
H***y,Sari Serai Telang by Rahsa Nusantara - Jamu Sirup Herbal Tradisional,Sesuai pesanan  sesuai deskripsi  berlangganan
H***y,,Sesuai pesanan  sesuai deskripsi  rasanya segar
H***y,,Sesuai pesanan  sesuai deskripsi  berlangganan
D***s,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,ok selalu konsisten
D***s,,ok selalu konsisten
N***l,Mini Size Sapujagad Anak by Rahsa Nusantara,blm dicoba  semoga anak saya suka
Nurul,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,kata anak saya rasanya pedes. Sendok takarnya jg ga ngerti deh pakainya  dikirim diluar kardus botol dan ga dibungkus apa2 lagi. expired cepat
Bahar,,luar biasa
D***i,,paket sampai dgn selamat aman bgt packingnya gak pake bubble wrap keren lebih ramah lingkunganðŸ‘ untuk produknya baru akan di coba  semoga cocok âœ¨ bonusnya bnyk bgt (sada...
D***i,Mini Size Sapujagad Anak by Rahsa Nusantara,paket sampai dgn selamat aman bgt packingnya gak pake bubble wrap keren lebih ramah lingkunganðŸ‘ untuk produknya baru akan di coba  semoga cocok âœ¨ bonusnya bnyk bgt (sada...
Irsyad,,Beli pagi  malem sampai  baguus ðŸ‘
alqrzgold,,paket sampe aman  ga dapet sendok yah yg mini size nya?? moga aja anak aku suka dan cocok ya bs langganan klo cocok
A***a,,Semoga bermanfaat
BunNana,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,batuk alergi anakÂ² saya cocok dgn ini. Biidznillah.. ini pembelian kedua.
v***i,PAKET HEALTHY KIDS 200K By Rahsa Nusantara,Barang sesuai deskripsi Packing rapi Pengiriman cepat Thanks seller
