,user,produk,review,review_processed,polarity_score,polarity
32,Dyandra,,Barang diterima dengan aman semua  ga ada yg bocor sama sekali.. dengan kemasan ramah lingkungan tanpa plastik.. masih dikasi tambahan bonus 2 botol kecil sari lemon dan...,"barang,terima,aman,enggak,bocor,kemas,ramah,lingkung,plastik,kasih,bonus,botol,sari,lemon",4,positive
33,Dito,,packing aman dan semoga cocok,"packing,aman,moga,cocok",2,positive
34,W***y,,Terima kasih sekarang sudah menggunakan packing bebas plastik ðŸ‘,"terima,kasih,packing,bebas,plastik",2,positive
35,Lussia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,datang tepat waktu. thanks seller  sukses selalu,"thanks,seller,sukses",2,positive
36,Ony,Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule,good response  packing rapi. pengiriman tepat wkt. baru do coba moga cocok,"good,response,packing,rapi,kirim,waktu,di,coba,moga,cocok",3,positive
37,Asep,,mantap,mantap,1,positive
38,Dwita,,sesuai pesanan. repeat order terus,"sesuai,pesan,repeat,order",1,positive
39,Imran,Beli 1 Paket Gratis 3 Produk By Rahsa Nusantara | Paket Hemat,mantappp,mantap,1,positive
40,Y***l,Bundling 2 Sukhaloka by Rahsa Nusantara,Baru minum 3 hari tiba2 kulit bersisik di blakang telinga yang udah lama ada tiba tiba hilang. Bakal aku terusin sih  klo kulit di bagian lainnya belum terlalu ada peruba...,"minum,tiba-tiba,kulit,sisik,blakang,telinga,hilang,terusin,kalo,kulit,uba",0,neutral
41,Diana,,barang sesuai dengan gambar  packaging baik,"barang,sesuai,gambar,packaging",1,positive
42,Irma,,Pengiriman cepat. Ibu saya cocok minum Jagadthara: kondisi lambungnya sudah lebih baik setelah minum jamu ini. Kalo bisa  tolong disediakan kemasan yang lebih besar supay...,"kirim,cepat,cocok,minum,jagadthara,kondisi,lambung,minum,jamu,kalo,tolong,sedia,kemas,besar,supay",1,positive
43,Andra,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,sendoknya lucu,"sendok,lucu",0,neutral
44,haris,,seller respomsif dan barang sesuai diskripsi...tks,"seller,respomsif,barang,sesuai,skripsi,tks",1,positive
45,Lussia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,sesuai pesanan. dtg tepat waktu. kualitas dbestttt.... thanks seller,"sesuai,pesan,datang,kualitas,dbestttt,thanks,seller",2,positive
46,r***f,,packing bagus. sdh sering beli disini. terimakasih,"packing,bagus,sudah,beli,terimakasih",0,neutral
47,Hamdan,,cepat sampai... tapi naik ya harganya,"cepat,harga",1,positive
48,Nugraha,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,produk sesuai deksripsi  packing oke  respons juga oke  terima kasih,"produk,sesuai,deksripsi,packing,respons,terima,kasih",3,positive
49,Nugraha,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,produk sesuai deksripsi  packing oke  respons juga oke  terima kasih,"produk,sesuai,deksripsi,packing,respons,terima,kasih",3,positive
50,Nugraha,,produk sesuai deksripsi  packing oke  respons juga oke  terima kasih,"produk,sesuai,deksripsi,packing,respons,terima,kasih",3,positive
51,Retno,,super memudahkan untuk memasak,"super,mudah,masak",2,positive
52,Abdul,,baru coba dan baru 2 kali minum setiap dituang ke sendok selalu ada isi yg keluar alias tumpah. sayang banget lumayan kl setiap minum brp ml yg terbuang. mhon ini jadikan...,"coba,minum,tuang,sendok,isi,alias,tumpah,sayang,lumayan,kalo,minum,berapa,ml,buang,mhon",-1,negative
53,Septaray,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,semoga cocok,"moga,cocok",1,positive
54,K***y,,enak banget rasanya. ternyata botol kaca bukan plastik kek sebelah. jadi makin aman u/ di simpan kulkas deh. packing dobel2 aman. thank you.,"enak,nyata,botol,kaca,plastik,kayak,belah,aman,lu,simpan,klulkas,deh,packing,dobel2,aman,thank,yolu",3,positive
55,I***a,,rasa dominan asam   sepertinya rahsa nusantara harus bkin produk yg manfaat nya sama dgn dominan rasa manis supaya anak2 lebih nyaman saat minum yaaaa  hanya masukan saja...,"dominan,asam,rahsa,nusantara,bikin,produk,manfaat,dengan,dominan,manis,anak-anak,nyaman,minum,ya,masuk",2,positive
56,Yufrianto,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,mantap,mantap,1,positive
57,Joni,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,super thanks,"super,thanks",1,positive
58,Irma,,Ibu saya cocok minum Jagadthara  jadi saya beli lagi,"cocok,minum,jagadthara,beli",1,positive
59,SRI,,semoga bermanfaat  langsung beli yang bundle buat stok,"moga,manfaat,langsung,beli,bundle,stok",1,positive
60,Lussia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,layanan selalu baik. pengemasan cepat  sll diterima dalam keadaan aman dan tepat wkt. thanks seller. sukses selalu,"layan,emas,cepat,selalu,terima,aman,waktu,thanks,seller,sukses",5,positive
61,R***i,,Lengkap dan diterima dalam kondisi baik. Packing cakep dan sangat aman. Dus terluar juga tebal. Terima kasih kaaaa ðŸ˜ƒðŸ‘ðŸ½ðŸ‘ðŸ½,"lengkap,terima,kondisi,packing,cakep,aman,dus,tebal,terima,kasih,kak",4,positive
62,Indah,,seger bgt ini minuman..enak ..n kurirnya ramah sangat,"segar,banget,minum,enak,n,kurir,ramah",2,positive
63,vina,,enak banget siy... recommended,"enak,siy,recommended",1,positive
64,a***a,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,Ternyata enak rasanya  kalau ngaruh nanti beli yang fullsize  good packaging!,"nyata,enak,ngaruh,beli,fullsize,good,packaging",2,positive
65,Hidayat,,Yang kedua.. fast respon  walau jauh tapi on time,"fast,respon,on,time",1,positive
66,Witania,,RASANYA ENAK  SEGAR. HARUS LEBIH DARI 4 SENDOK MAKAN JIKA SUKA RASA MANIS,"enak,segar,sendok,makan,suka,manis",2,positive
67,Witania,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,kondisi barang baik  tidak ada yg pecah. penemasan rapih sekali.,"kondisi,barang,pecah,temas,rapi",0,neutral
68,Bobby,,packing super aman  terima kasih.,"packing,super,aman,terima,kasih",3,positive
69,Agniasabietah,,Enak banget seger,"enak,segar",1,positive
70,Indah,,packaging nya rapi bgt sama kurirnya pun sangat2 ramah  puas blnja d sini. terimakasih,"packaging,rapi,banget,kurir,sangat-sangat,ramah,puas,belanja,di,terimakasih",3,positive
71,Lerizya,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,Pertolongan pertama kalau sudah ada gejala batuk/pilek untuk di rumah. Selalu siap sedia untuk stok.,"tolong,gejala,batuk,pilek,rumah,sedia,stok",-1,negative
72,Lerizya,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,Kandungannya jelas berkhasiat  selalu stok untuk di rumah.,"kandung,khasiat,stok,rumah",1,positive
73,Taufiq,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,oke barang sesuai dan pengiriman cepat  mantao,"barang,sesuai,kirim,cepat,mantao",2,positive
74,Nukie,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Repeat order kesekian kali Anaku usia 3 thn doyan..  ðŸ«¶ðŸ»ðŸ«¶ðŸ»,"repeat,order,ana,usia,tahun,doyan",0,neutral
75,Irma,,Packing ramah lingkungan. Kata ibu saya  rasanya didominasi kunyit dan kayak ada temuireng. Lambung jadi tenang tapi tiap habis minum kok kerongkongan serak. Yang penting...,"packing,ramah,lingkung,dominasi,kunyit,kayak,temuireng,lambung,tenang,habis,minum,kerongkongan,serak",1,positive
76,Nafira,,Packagingnya safety sekalii.. Semoga harganya ngga semakin naik kedepannya,"packagingnya,safety,moga,harga,enggak",1,positive
77,Alex,Sari Serai Telang by Rahsa Nusantara - Jamu Sirup Herbal Tradisional,okay good,"okay,good",1,positive
78,U***i,,sari lemonnya segar  packingannya TOP BGT  sangat aman. Sepertinya bakal langganan di toko ini deh.  thanks seller. recommendedðŸ¥°ðŸ‘,"sari,lemon,segar,packingannya,top,banget,aman,langgan,toko,deh,thanks,seller,recommended",3,positive
79,Mira,Mini Size Sapujagad Anak by Rahsa Nusantara,langganan.. anak2 suka.. khasiatnya tak perlu di ragukan,"langgan,anak-anak,suka,khasiat,tak,ragu",3,positive
80,Mira,,mantul rasanya dan sizenya gede banget.. cepat juga sampainya recommended seller,"mantul,sizenya,gede,cepat,recommended,seller",1,positive
81,Anwar,,waktu pengiriman produk nya harus lebih dipercepat  ganti kurir nya..,"kirim,produk,cepat,ganti,kurir",1,positive
82,r***u,,pembelian kesekian kalinya,beli,0,neutral
83,P***a,,Udh ngerasain khasiatnya di 1 botol pertama. Jd lebih fokus kerjanya tp minumnya harus rutin,"sudah,merasai,khasiat,botol,jadi,fokus,kerja,tapi,minum,rutin",2,positive
84,R***i,Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule,Proses cepat  diterima dalam kondisi baik. Terima kasih kakaaaaa ðŸ˜ƒðŸ‘ðŸ½ðŸ‘ðŸ½,"proses,cepat,terima,kondisi,terima,kasih,kakaaaaa",4,positive
85,Ruri,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,Sudah 2x order barang cepat banget sampai nya ..,"sudahx,order,barang,cepat",1,positive
86,J***d,,repurchase karena seoke itu utk anak,"repurchase,untuk,anak",0,neutral
87,J***d,PAKET HEALTHY KIDS 200K By Rahsa Nusantara,selalu langganan beli disini untuk keluarga,"langgan,beli,keluarga",1,positive
88,Hendry,,seperti biasa biar bintang bicara,"biar,bintang,bicara",0,neutral
89,FIARINI,,barang original  pengiriman cepat  packing rapi  dapat harga discount :),"barang,original,kirim,cepat,packing,rapi,harga,discount",3,positive
90,V***a,,Rasa spt jamu tp anak suka. Saran d buat isi lbh byk/besar biar gk boros hahha plus disc yg byk tq,"seperti,jamu,tapi,anak,suka,saran,di,isi,lebih,banyak,besar,biar,enggak,boros,hahha,plus,diisc,banyak,tq",1,positive
91,Lussia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,thanks seller. sesuai pesanan,"thanks,seller,sesuai,pesan",2,positive
92,M***f,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,Just love this produk. Ini fotonya klo sudah dicampur sama air hangat,"just,love,this,produk,foto,kalo,campur,air,hangat",0,neutral
93,J***t,,Ini ngaruh banget buat diet   udah coba 4 hari turun 1 kg ðŸ¥¹ waw,"ngaruh,diet,coba,turun,wow",0,neutral
94,Gito,,Kwalitas bagus  rasanya pekat dan mantap,"kwalitas,bagus,pekat,mantap",1,positive
95,Restu,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,Maa Syaa Allah Tabarakallah jamu Ter enak yang pernah aku minum. makasih ya.. semoga tambah berkah tambah jaya..,"maa,syaa,allah,tabarakallah,jamu,ter,enak,minum,moga,berkah,jaya",1,positive
96,R***a,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,anakku batuk pilek  aku nyobain beli ini semoga sembuh sakitnya. rasanya enak  anakku suka,"anak,batuk,pilek,mencoba,beli,moga,sembuh,sakit,enak,anak,suka",3,positive
97,R***i,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,packing aman  respon penjual sampai pengiriman cepet,"packing,aman,respon,jual,kirim,cepat",2,positive
98,Putri,,bahan organik dan alami. tidak pahit dan sangat mudah di terima di lidah lidah kita.,"bahan,organik,alami,pahit,mudah,terima,lidah,lidah",1,positive
99,Futsia,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,cocok untuk anak. anak suka rasanya. recommended. thanks. pengiriman juga aman,"cocok,anak,anak,suka,recommended,thanks,kirim,aman",4,positive
100,Futsia,,cocok untuk anak. anak suka rasanya. recommended. thanks. pengiriman juga aman,"cocok,anak,anak,suka,recommended,thanks,kirim,aman",4,positive
101,Alan,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,rasa nya terlalu rasa jamu.. kunyit nya terlalu kencang g ada kecut2 dari tamarind nya,"jamu,kunyit,kencanenggak,enggak,kecut2,tamarind",0,neutral
102,b***a,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,cuaca lagi ga nentu gini  semoga ini ngebantu yaa buat ttp sehat,"cuaca,enggak,nentu,gin,moenggak,membantu,ya,tetap,sehat",1,positive
103,Safarila,,Sorry baru ulas  shipping ok bgt super cepat hihi. Rasa enaak  anak suka dan ga eneg. Tq,"sorry,ulas,shipping,ok,banget,super,cepat,hihi,enaak,anak,suka,enggak,eneg,tq",2,positive
104,c***y,,puas sama pemakaian botol pertama  jdi langsung beli banyak krna lebih hemat juga. belum sampe sebulan  efeknya udh kerasa. kulit lebih lembab dan cerah.,"puas,pakai,botol,jadi,langsung,beli,karena,hemat,sampai,efek,sudah,kulit,lembab,cerah",1,positive
105,c***y,,praktis. botol kacanya tebal  jadi aman selama pengiriman. produk2nya rahsa nusantara recommended ðŸ‘,"praktis,botol,kaca,tebal,aman,kirim,produk2nya,rahsa,nusantara,recommended",2,positive
106,Juliyanti,,langganan,langgan,1,positive
107,NOVINA,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,ternyata anak2 pada suka bisa jadi langganan nich,"nyata,anak-anak,suka,langgan,nih",2,positive
108,Urph,,Sesuai deskrips dan pesanan,"sesuai,deskrips,pesan",1,positive
109,E***y,,Produk diterima dalam keadaan baik  packingnya aman dan ramah lingkungan. Rasanya enak  tidak terlalu jamu dan tidak pedas jadi anak2 bisa minum ini tanpa drama...,"produk,terima,packingnya,aman,ramah,lingkung,enak,jamu,pedas,anak-anak,minum,drama",3,positive
110,Bernhard,,pembelian ke 2  buat asam lambung bagus.,"beli,asam,lambung,bagus",0,neutral
111,D***e,,suka bgt sama sari lemon rahsa,"suka,banget,sari,lemon,rahsa",1,positive
112,Vita,,Langganan ðŸ˜ Seneng bgt packingnya lessplasticðŸ«°ðŸ»,"langgan,neng,banget,packingnya,lessplastic",1,positive
113,Vita,,Jahe nya berasa bgt Enak di tenggorokan dan hangat di perut,"jahe,asa,banget,enak,tenggorok,hangat,perut",2,positive
114,I***e,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,baru sekali minum sdh kerasa mensnya lgsg banyak tx ya.  cuma klo yg punya lambung kyknya harus makan dulu biar ga perih ke perut..,"minum,sudah,mens,langsung,tak,kalo,lambung,kayaknya,makan,biar,enggak,perih,perut",0,neutral
115,I***e,,baru mau nyoba semoga bisa mencerahkan wajah,"mencoba,moga,cerah,wajah",0,neutral
116,R***i,,praktis bangett pakai bumbu ini buat tumis2an. tinggal tumis bumbu  masukin sayur (buncis  kacang panjang  atau apapun lah)  tambah garam deh. udah enak.,"praktis,banget,pakai,bumbu,tumis2an,tinggal,tumis,bumbu,memasuki,sayur,buncis,kacang,garam,deh,enak",2,positive
117,Muhammad,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,pembelian kedua.. semoga hasilnya baik terlihat...,"beli,moga,hasil,lihat",0,neutral
118,Fitri,,Setelah habis setengah botol lemon terasa kulitnya sehat,"habis,botol,lemon,asa,kulit,sehat",2,positive
119,R***i,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,Enak banget rasa asli seperti di mbok jamu,"enak,asli,mbok,jamu",1,positive
120,Amanda,,Jalan ninja untuk ningkatin nafsu makan anak jaga daya tahan tubuh â™¥ï¸â™¥ï¸,"jalan,ninja,ningkatin,nafsu,makan,anak,jaga,daya,tahan,tubuh",1,positive
121,Ridwan,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,kunyitnya enak  pedes jahenya dapet  seger dan menyehatkan trims.,"kunyit,enak,pedas,jahe,dapat,segar,sehat,terima,kasih",3,positive
122,risma,,langganan,langgan,1,positive
123,Mira,,membantu skali waktu batpil,"bantu,sekali,batpil",0,neutral
124,R***a,Mini Size Sapujagad Anak by Rahsa Nusantara,Rasanya enak banget  tenggorokan lgs anget. Emaknya dulu tes  hari ini mau coba kasih ke anak  semoga suka dan cocok ðŸ™ðŸ»,"enak,tenggorok,langsung,anget,emaknya,tes,coba,kasih,anak,moga,suka,cocok",4,positive
125,A***P,,mantabs selalu dapat bonus pula  recommended seller!,"mantab,bonus,recommended,seller",1,positive
126,Fitriana,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,Agak degÂ² ser nyobanya (wanginya itu loo  bawang banget meen)  tapi demi kesehatan akan kulawan rasa mblenek inih. Hiyaah  glek...glek...,"ser,nyobanya,wangi,lo,bawang,meen,sehat,lawan,mblenek,ini,hiyaah,glek,glek",1,positive
127,c***y,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,selalu bagus  Insyaa Allah bermanfaat.. sudah langganan,"bagus,insyaa,allah,manfaat,langgan",2,positive
128,Ani,,Best sih ini ringkes banget,"best,ringkes",1,positive
129,S***y,,Minum ini pas lg sakit2nya nyeri ga ekspektasi apa2 eh beneran ngefek ðŸ˜­,"minum,lagi,sakit2nya,nyeri,enggak,ekspektasi,apa-apa,eh,benaran,ngefek",0,neutral
130,Diana,[Bebas Pilih Bundling] Sapujagad anak REGAS by Rahsa Nusantara,barang sesuai dengan gambar  packaging baik,"barang,sesuai,gambar,packaging",1,positive
131,Bunga,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,selalu suka dengan produk nya dan packingnya yang ramah lingkungan,"suka,produk,packingnya,ramah,lingkung",2,positive
132,Bunga,,selalu suka dengan produk nya dan packingnya yang ramah lingkungan,"suka,produk,packingnya,ramah,lingkung",2,positive
133,Istiqomah,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,packing rapi &amp,"packing,rapi,amp",1,positive
134,Nina,,pakcingan super aman  kesegaran terjaga pake pengiriman next day lebih baik,"pakcingan,super,aman,segar,jaga,pakai,kirim,next,day",2,positive
135,fitri,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,Produk aman pengiriman cepat,"produk,aman,kirim,cepat",2,positive
136,fitri,Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek,Pengiriman cepat  produk aman,"kirim,cepat,produk,aman",2,positive
137,Pauline,,kirim cepet bgt  mantap,"kirim,cepat,banget,mantap",2,positive
138,Rakhmad,,kandungan  khasiat &amp,"kandung,khasiat,amp",1,positive
139,Rikki,,Baru pertama kali coba sari lemon ini. Agak kuatir waktu pesan karena kemasan nya botol kaca. Dan di ekspedisi nya sempat tidak ada perubahan status selama satu hari. Dan...,"coba,sari,lemon,kuatir,pesan,kemas,botol,kaca,ekspedisi,ubah,status",0,neutral
140,Mayang,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,enaaakkj,enaaakkj,0,neutral
141,A***a,,Pengirimannya aman packingnya bagus. Pesanan aman sampai di rumah. Terima kasih.,"kirim,aman,packingnya,bagus,pesan,aman,rumah,terima,kasih",4,positive
142,R***u,,lngsung ditaruh dikulkas packing aman terimakasih.,"langsung,taruh,kulkas,packing,aman,terimakasih",1,positive
143,Hesti,Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional,Rasa kunyit mantap,"kunyit,mantap",1,positive
144,Jessica,PAKET HEALTHY KIDS 200K By Rahsa Nusantara,Sudah langganan sejak dulu. Puas dengan produknya.,"langgan,puas,produk",2,positive
145,uleerossi,Mini Size Jagad Series by Rahsa Nusantara - Starter Pack,mantap..packing sangat aman,"mantap,packing,aman",2,positive
146,uleerossi,,yg mula lebih ringan rasanya..nyaman,"ringan,nyaman",0,neutral
147,Baruna,,Beli karena pernah dpt gratisan sample dan cocok ternyata..,"beli,dapat,gratis,sample,cocok,nyata",2,positive
148,Reni,Bundling 2 Sukhaloka by Rahsa Nusantara,dapat sari kunyit asem dan jahe merah. thank you â¤ï¸â¤ï¸â¤ï¸ suka sekali dengan collagen booster,"sari,kunyit,asem,jahe,merah,thank,you,suka,collagen,booster",1,positive
149,a***a,[Bebas Pilih Bundling] Sapujagad anak REGAS by Rahsa Nusantara,pengiriman cepat  packing aman. kualitas oke...trs selalu dapet bonus ya ampun baik bgt ga ngerti lagi dehhh...sukses terus Rahsaâ¤ï¸,"kirim,cepat,packing,aman,kualitas,terus,dapat,bonus,ampun,banget,enggak,mengerti,deh,sukses,rahsa",4,positive
150,a***a,,pengiriman cepat  packing aman. kualitas oke...trs selalu dapet bonus ya ampun baik bgt ga ngerti lagi dehhh...sukses terus Rahsaâ¤ï¸,"kirim,cepat,packing,aman,kualitas,terus,dapat,bonus,ampun,banget,enggak,mengerti,deh,sukses,rahsa",4,positive
151,Syndi,Sari Serai Telang by Rahsa Nusantara - Jamu Sirup Herbal Tradisional,pelayanan CS kurang bagus,"layan,cs,bagus",0,neutral
152,Eko,Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat,Barangnya lumayan bagus.....cuma pengiriman lama Banget udah bayar mahal....parah banget,"barang,lumayan,bagus,kirim,bayar,mahal,parah",0,neutral
153,K***K,Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba,anak2 cocok banget sama ini tuh. love banget pokoknya ðŸ¥°,"anak-anak,cocok,tuh,love,pokok",1,positive
154,R***u,,packing aman  puas bgt ada bonusnya juga terimakasih,"packing,aman,puas,banget,bonus,terimakasih",3,positive
155,Lancar Haid,Paket Healthy Women 200K By Rahsa Nusantara |Sehat Glowing,gracia kunyit asam-nya enak banget. laras jagad diminum tiap pagi bikin badan segar. dapet bonus jahe merah dan kunyit asam kecil2 lagi.. seneng bangeeett.. makasih jeng/mas â¤ï¸,"gracia,kunyit,asam,enak,laras,jagad,minum,pagi,bikin,badan,segar,dapat,bonus,jahe,merah,kunyit,asam,kecil2,neng,bangeeett,jeng",2,positive
156,gracia,[PAKET HEMAT CERLANG] By Rahsa Nusantara | Kesehatan Mata Anak,kesukaan anakku.. perlu banget ini buat anak2 jaman sekarang yang screen time sepanjang hari.,"suka,anak,anak-anak,jaman,screen,time",1,positive
